review_id,restaurant_id,review_score,review_content,food_score,service_score,atmosphere_score
Ci9DQUlRQUNvZENodHljRjlvT21aM1VtMVNVRzlYWDFsd2FYazFlbFJJTkRWUWVGRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"一個接待的女人,不知道在跩什麼,下雨天地上就積水,還強迫安排在地上積水的座位,一副我欠妳錢的樣子,沒吃就走了",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25kVWRIZEVWR2xtYUdSTmFHODVNalZpUjBOUWQyYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"很久沒來吃，變貴品質又變差，水餃變貴還縮水，女老闆和全部服務生好像都欠他們錢，態度差臉又臭，水餃一顆漲到10元，煮得水水軟爛還有幾顆是破的，賣到10元水準卻是這樣,小菜湯都要自己拿……生意好後完全變調",2,1,1
Ci9DQUlRQUNvZENodHljRjlvT21jM1IyVk1OWFowVWw5ZlYxZFRjbm95Y2w4eFJYYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,難吃態度又差,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2tSdGFIRXhTMTlGVDA1WGNrcHBjVmxLWnpWeldtYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"從小吃到大 以前很好吃 後來慢慢的走味
服務人員態度也很差 還會瞪人",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2s1U01WTnNjRWhFU2pReU1FdHhjRVZXVDFSMVFXYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,年年變貴、態度年年變差、水餃也不如以前好吃。,2,1,1
Ci9DQUlRQUNvZENodHljRjlvT2toSE1FZG5TblJtVEZSZmJqSmtSMnhuTFRWUFNFRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xaWE5ESlZRMTlRU3pGSFlVUkdla3hUVDNjNU0wRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,明明就沒有人卻一直不讓進去（等了10分鐘），水餃皮很爛幾乎都散開的，服務人員不知道在兇什麼意思的。,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21SaUxVTkVWRWhTVjNacmNERTVZelpZY3pKUGVYYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,鬍子忘記刮了,1,3,3
Ci9DQUlRQUNvZENodHljRjlvT2xnd2JsUlFSMDlLUzFSdFprYzFSMHh4VUVOTVFrRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,開店前就來排隊，開店準時入座結果等了20分鐘才上水餃，點了豬肉大白菜水餃，外皮煮太久軟軟爛爛的，內餡既沒鮮味就算了還吃到一點豬腥味，一顆十元，自己在家煮冷凍水餃都還大贏，完全不懂這家在紅什麼？,1,2,2
Ci9DQUlRQUNvZENodHljRjlvT2twaFRVeHFTME5wYlZkQlNVTXRSME55WVZWcVpGRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"不值得排隊的店家，態度也不友善
帶孩子更不建議來受罪！！",,,
